사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021년 1월 8일 13시,강원도 횡성군 둔내면,중상사고,0,3,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,화물,남,57세,상해없음,승합,여,51세,중상
2021년 1월 15일 18시,강원도 원주시 호저면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,기타,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,42세,기타불명
2021년 1월 18일 11시,강원도 홍천군 홍천읍,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 젖음/습기,눈,단일로 - 기타,승용,남,29세,상해없음,보행자,남,57세,사망
2021년 1월 24일 08시,강원도 양양군 현북면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,44세,경상
2021년 1월 28일 02시,강원도 평창군 대관령면,중상사고,0,1,0,0,차대차 - 추돌,기타,포장 - 건조,기타,단일로 - 기타,승용,남,66세,상해없음,화물,남,41세,중상
2021년 2월 8일 17시,강원도 양양군 손양면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,여,46세,경상
2021년 2월 10일 14시,강원도 인제군 상남면,중상사고,0,2,0,0,차대차 - 정면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,특수,남,49세,상해없음,승용,남,73세,중상
2021년 2월 12일 14시,강원도 원주시 신림면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,24세,상해없음,승용,남,30세,경상
2021년 2월 13일 14시,강원도 평창군 봉평면,중상사고,0,1,11,1,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 터널,승용,남,78세,상해없음,승용,남,36세,부상신고
2021년 2월 13일 15시,강원도 양양군 서면,경상사고,0,0,4,0,차대차 - 기타,기타,포장 - 건조,맑음,기타 - 기타,승용,남,49세,상해없음,승용,남,55세,경상
2021년 2월 21일 11시,강원도 강릉시 성산면,경상사고,0,0,2,0,차대차 - 후진중충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,67세,상해없음,승용,남,29세,경상
2021년 2월 28일 08시,강원도 홍천군 화촌면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,42세,상해없음,승용,남,35세,경상
2021년 3월 1일 11시,강원도 양양군 서면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 적설,눈,단일로 - 기타,승용,남,41세,상해없음,승용,남,46세,경상
2021년 3월 1일 14시,강원도 홍천군 서석면,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 교량,승용,남,70세,상해없음,승용,남,37세,경상
2021년 3월 1일 16시,강원도 홍천군 서석면,사망사고,1,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 적설,비,단일로 - 교량,승용,남,57세,상해없음,보행자,남,51세,사망
2021년 3월 1일 16시,강원도 강릉시 주문진읍,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 적설,눈,단일로 - 기타,승용,남,47세,상해없음,승용,남,52세,경상
2021년 3월 1일 17시,강원도 홍천군 홍천읍,경상사고,0,0,1,1,차대차 - 측면충돌,안전거리미확보,포장 - 젖음/습기,비,단일로 - 기타,승합,남,48세,상해없음,승용,남,25세,부상신고
2021년 3월 1일 18시,강원도 인제군 상남면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 적설,눈,단일로 - 기타,승용,여,48세,상해없음,승용,남,34세,경상
2021년 3월 2일 12시,강원도 횡성군 둔내면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 적설,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,남,59세,상해없음
2021년 3월 7일 15시,강원도 원주시 호저면,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,남,45세,중상
2021년 3월 11일 08시,강원도 평창군 용평면,경상사고,0,0,3,0,차대차 - 추돌,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,21세,상해없음,화물,남,46세,경상
2021년 3월 13일 08시,강원도 춘천시 남면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,승용,남,69세,상해없음,승용,남,37세,경상
2021년 3월 20일 13시,강원도 춘천시 남면,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,28세,상해없음,승용,여,40세,경상
2021년 3월 23일 07시,강원도 인제군 상남면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,70세,상해없음,화물,남,58세,경상
2021년 3월 26일 14시,강원도 인제군 상남면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승합,남,29세,상해없음,보행자,여,58세,경상
2021년 4월 2일 05시,강원도 원주시 신림면,사망사고,1,1,0,0,차량단독 - 공작물충돌,기타,포장 - 건조,맑음,단일로 - 기타,화물,여,61세,중상,,,,
2021년 4월 2일 16시,강원도 원주시 신림면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,35세,상해없음,승용,남,59세,경상
