사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010100100021,2021년 1월 1일 02시,금요일,경기도 화성시 정남면,경상사고,0,0,3,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,남,56세,경상
2021010100100073,2021년 1월 1일 12시,금요일,경기도 의왕시 청계동,부상신고사고,0,0,0,2,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,61세,상해없음,승용,여,32세,부상신고
2.02101E+15,2021년 1월 1일 16시,금요일,경기도 남양주시 와부읍,경상사고,0,0,4,0,차대차 - 추돌,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,54세,경상
2021010100100154,2021년 1월 1일 17시,금요일,경기도 안산시 상록구 장하동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,60세,상해없음,승용,여,28세,경상
2021010200100111,2021년 1월 2일 12시,토요일,경기도 평택시 포승읍,경상사고,0,0,6,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,남,33세,경상
2.02101E+15,2021년 1월 2일 13시,토요일,경기도 하남시 광암동,경상사고,0,0,6,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,승용,남,51세,상해없음,승용,남,65세,부상신고
2021010200100151,2021년 1월 2일 13시,토요일,경기도 하남시 광암동,경상사고,0,0,5,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,46세,경상
2021010200100313,2021년 1월 2일 18시,토요일,경기도 양평군 서종면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,19세,상해없음,승용,남,61세,경상
2.02101E+15,2021년 1월 2일 20시,토요일,경기도 오산시 서랑동,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,41세,중상,,,,
2021010300100022,2021년 1월 3일 06시,일요일,경기도 평택시 평택동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,특수,남,47세,기타불명,보행자,여,50세,경상
2021010300100177,2021년 1월 3일 18시,일요일,경기도 의정부시 장암동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,28세,경상
2021010400100023,2021년 1월 4일 06시,월요일,경기도 성남시 분당구 판교동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,기타 - 기타,화물,남,73세,상해없음,승용,여,48세,경상
2021010400100233,2021년 1월 4일 16시,월요일,경기도 안성시 금광면,사망사고,1,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,58세,중상,화물,남,56세,사망
2021010400100372,2021년 1월 4일 19시,월요일,경기도 양평군 서종면,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,화물,남,59세,중상
2021010400100381,2021년 1월 4일 20시,월요일,경기도 수원시 영통구 이의동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,여,30세,부상신고
2021010400100436,2021년 1월 4일 23시,월요일,경기도 성남시 수정구 금토동,사망사고,1,0,1,0,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,눈,단일로 - 기타,승용,남,41세,상해없음,승용,여,31세,사망
2021010500100009,2021년 1월 5일 02시,화요일,경기도 안양시 만안구 안양동,중상사고,0,2,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,여,65세,중상
2021010500100015,2021년 1월 5일 05시,화요일,경기도 용인시 처인구 유방동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,기타 - 기타,승용,남,60세,상해없음,승용,남,30세,중상
2021010500100253,2021년 1월 5일 16시,화요일,경기도 안산시 단원구 신길동,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,30세,중상,승용,남,35세,경상
2021010500100405,2021년 1월 5일 21시,화요일,경기도 성남시 수정구 금토동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,51세,상해없음,승용,여,45세,중상
2021010600100036,2021년 1월 6일 06시,수요일,경기도 오산시 양산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승합,남,53세,상해없음,승용,남,23세,경상
