사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010700100353,2021년 1월 7일 21시,목요일,경상남도 김해시 흥동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,65세,상해없음
2021010800100282,2021년 1월 8일 16시,금요일,경상남도 양산시 상북면,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,남,29세,기타불명
2.02101E+15,2021년 1월 13일 11시,수요일,경상남도 진주시 명석면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,승용,남,44세,경상
2021011300100267,2021년 1월 13일 15시,수요일,경상남도 창원시 마산회원구 내서읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,56세,상해없음,승용,남,63세,경상
2021011600100228,2021년 1월 16일 15시,토요일,경상남도 함안군 칠원읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,승용,남,22세,상해없음,승합,남,34세,경상
2021011700100155,2021년 1월 17일 16시,일요일,경상남도 김해시 불암동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,60세,상해없음,승용,여,37세,경상
2021011800100036,2021년 1월 18일 07시,월요일,경상남도 김해시 진영읍,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,59세,사망,화물,남,52세,상해없음
2021011800100037,2021년 1월 18일 07시,월요일,경상남도 하동군 금남면,중상사고,0,2,0,0,차대차 - 기타,안전거리미확보,포장 - 적설,눈,단일로 - 기타,화물,남,46세,상해없음,승용,남,57세,중상
2.02101E+15,2021년 1월 21일 22시,목요일,경상남도 양산시 상북면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,화물,남,54세,상해없음,승용,여,25세,경상
2021012200100078,2021년 1월 22일 08시,금요일,경상남도 창원시 마산회원구 내서읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,포장 - 젖음/습기,비,단일로 - 기타,화물,남,67세,상해없음,승합,남,53세,중상
2021012200100445,2021년 1월 22일 19시,금요일,경상남도 김해시 대동면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,49세,상해없음,승용,남,32세,경상
2.02101E+15,2021년 1월 27일 14시,수요일,경상남도 산청군 단성면,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,승용,남,45세,사망,화물,남,63세,상해없음
2021012800100505,2021년 1월 28일 21시,목요일,경상남도 창원시 의창구 동읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 젖음/습기,눈,단일로 - 기타,승용,남,41세,상해없음,특수,남,46세,경상
2021013100100216,2021년 1월 31일 16시,일요일,경상남도 함안군 칠원읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,상해없음,승용,여,33세,중상
2021020200100018,2021년 2월 2일 05시,화요일,경상남도 양산시 동면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,27세,중상,특수,남,66세,상해없음
2021020200100257,2021년 2월 2일 15시,화요일,경상남도 양산시 상북면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,특수,남,53세,상해없음,승합,남,45세,경상
2.02102E+15,2021년 2월 3일 12시,수요일,경상남도 김해시 한림면,중상사고,0,3,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,51세,상해없음,승용,남,66세,중상
2021020300100548,2021년 2월 3일 22시,수요일,경상남도 양산시 다방동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,상해없음,특수,남,63세,경상
2021020400100451,2021년 2월 4일 18시,목요일,경상남도 양산시 동면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,남,39세,경상
2021020600100173,2021년 2월 6일 13시,토요일,경상남도 양산시 물금읍,경상사고,0,0,3,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,45세,상해없음,승용,남,32세,경상
2021020800100173,2021년 2월 8일 11시,월요일,경상남도 김해시 대동면,중상사고,0,2,14,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,57세,상해없음,화물,남,43세,경상
2021020900100143,2021년 2월 9일 10시,화요일,경상남도 김해시 풍유동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,56세,상해없음,승용,여,34세,경상
2021021000100487,2021년 2월 10일 18시,수요일,경상남도 김해시 대동면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,51세,상해없음,승용,남,34세,경상
2021021200100151,2021년 2월 12일 16시,금요일,경상남도 양산시 신기동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,남,30세,상해없음,승용,여,26세,경상
2021021200100191,2021년 2월 12일 18시,금요일,경상남도 양산시 다방동,중상사고,0,2,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,55세,상해없음,승용,남,23세,경상
2021021300100121,2021년 2월 13일 13시,토요일,경상남도 창원시 의창구 북면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,23세,상해없음,승용,남,34세,경상
2021021700100089,2021년 2월 17일 08시,수요일,경상남도 창원시 의창구 동읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,41세,상해없음,승용,남,25세,경상
2021021700100359,2021년 2월 17일 17시,수요일,경상남도 양산시 상북면,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,39세,경상,,,,
2021022000100333,2021년 2월 20일 16시,토요일,경상남도 김해시 생림면,중상사고,0,2,0,0,차대차 - 추돌,신호위반,포장 - 건조,맑음,단일로 - 터널,승용,여,41세,상해없음,승용,여,26세,중상
2021022100100132,2021년 2월 21일 13시,일요일,경상남도 김해시 대동면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,66세,상해없음,화물,남,47세,경상
2021022100100356,2021년 2월 21일 20시,일요일,경상남도 함안군 군북면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,24세,상해없음,승용,남,26세,경상
2021022200100541,2021년 2월 22일 21시,월요일,경상남도 산청군 신안면,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승합,남,59세,경상
2021022300100012,2021년 2월 23일 01시,화요일,경상남도 밀양시 삼랑진읍,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,43세,상해없음,화물,남,53세,중상
2021022300100273,2021년 2월 23일 14시,화요일,경상남도 진주시 문산읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,57세,상해없음,특수,남,47세,경상
2021022300100336,2021년 2월 23일 16시,화요일,경상남도 밀양시 상남면,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,64세,상해없음,승용,남,47세,경상
2021022400100238,2021년 2월 24일 14시,수요일,경상남도 함안군 칠원읍,중상사고,0,2,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,남,30세,중상
2.02102E+15,2021년 2월 24일 15시,수요일,경상남도 밀양시 상남면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,남,46세,경상
2021022500100023,2021년 2월 25일 02시,목요일,경상남도 김해시 대동면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,41세,상해없음,승용,여,41세,경상
2021022500100122,2021년 2월 25일 10시,목요일,경상남도 창원시 의창구 동읍,중상사고,0,3,6,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,건설기계,남,58세,상해없음,화물,남,48세,경상
2021022700100066,2021년 2월 27일 08시,토요일,경상남도 창원시 마산회원구 합성동,사망사고,1,0,0,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,81세,사망,,,,
2021022800100049,2021년 2월 28일 07시,일요일,경상남도 양산시 물금읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,21세,상해없음,화물,남,49세,경상
2021022800100269,2021년 2월 28일 18시,일요일,경상남도 김해시 대동면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,여,60세,경상
2021030100100022,2021년 3월 1일 03시,월요일,경상남도 양산시 하북면,부상신고사고,0,0,0,1,차량단독 - 공작물충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,21세,부상신고,,,,
2021030100100137,2021년 3월 1일 14시,월요일,경상남도 양산시 다방동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,화물,남,72세,상해없음,승용,남,43세,경상
2021030200100465,2021년 3월 2일 20시,화요일,경상남도 김해시 진영읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,67세,상해없음,승용,남,58세,경상
2021030300100156,2021년 3월 3일 10시,수요일,경상남도 함안군 칠원읍,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,66세,상해없음,승용,남,32세,중상
2021030300100173,2021년 3월 3일 11시,수요일,경상남도 김해시 상동면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,30세,상해없음,승용,여,52세,중상
2021030600100136,2021년 3월 6일 11시,토요일,경상남도 김해시 생림면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,61세,상해없음,승용,남,38세,상해없음
2021030700100054,2021년 3월 7일 10시,일요일,경상남도 양산시 상북면,중상사고,0,1,4,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,남,35세,경상
2021030800100028,2021년 3월 8일 06시,월요일,경상남도 양산시 물금읍,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,남,54세,경상
2021030800100394,2021년 3월 8일 17시,월요일,경상남도 양산시 산막동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,50세,상해없음,승용,여,40세,경상
