사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010100100031,2021년 1월 1일 05시,금요일,경상북도 영천시 임고면,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,상해없음,화물,남,59세,중상
2021010100100171,2021년 1월 1일 18시,금요일,경상북도 상주시 낙동면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 서리/결빙,눈,단일로 - 기타,기타불명,기타불명,미분류,기타불명,화물,남,36세,중상
2021010200100441,2021년 1월 2일 23시,토요일,경상북도 상주시 이안면,사망사고,1,3,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,승용,남,37세,중상
2021010700100137,2021년 1월 7일 11시,목요일,경상북도 고령군 성산면,사망사고,1,0,0,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,화물,남,67세,상해없음,보행자,여,65세,사망
2021011100100024,2021년 1월 11일 06시,월요일,경상북도 고령군 성산면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,50세,경상,승용,남,26세,중상
2021011300100418,2021년 1월 13일 19시,수요일,경상북도 경산시 와촌면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,특수,남,54세,상해없음,승용,남,34세,경상
2021011700100020,2021년 1월 17일 05시,일요일,경상북도 문경시 문경읍,중상사고,0,2,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,중상,승용,남,39세,상해없음
2021011700100146,2021년 1월 17일 15시,일요일,경상북도 김천시 아포읍,경상사고,0,0,3,0,차대차 - 추돌,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,여,28세,경상
2021011900100604,2021년 1월 19일 22시,화요일,경상북도 구미시 임은동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,특수,남,59세,상해없음,화물,남,44세,경상
2021012200100168,2021년 1월 22일 12시,금요일,경상북도 상주시 화남면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,82세,상해없음,화물,남,51세,경상
