사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010800100184,2021년 1월 8일 13시,금요일,광주광역시 북구 문흥동,경상사고,0,0,3,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,60세,경상,,,,
2021011500100222,2021년 1월 15일 13시,금요일,광주광역시 광산구 지죽동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,건설기계,남,64세,경상,화물,남,50세,중상
2021012700100003,2021년 1월 27일 00시,수요일,광주광역시 북구 장등동,경상사고,0,0,1,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,기타 - 기타,승용,남,30세,상해없음,승용,남,43세,경상
2021020900100370,2021년 2월 9일 15시,화요일,광주광역시 북구 장등동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,기타 - 기타,화물,남,42세,상해없음,승용,남,55세,경상
2021021000100269,2021년 2월 10일 13시,수요일,광주광역시 북구 장등동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,40세,상해없음,승용,여,27세,중상
2021021900100318,2021년 2월 19일 14시,금요일,광주광역시 북구 장등동,경상사고,0,0,2,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,기타 - 기타,승용,여,20세,상해없음,승용,남,53세,경상
2021021900100700,2021년 2월 19일 22시,금요일,광주광역시 북구 장등동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,남,55세,경상
2021022300100417,2021년 2월 23일 18시,화요일,광주광역시 북구 장등동,경상사고,0,0,1,0,차대차 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,72세,상해없음,승용,남,59세,경상
2021031500100379,2021년 3월 15일 17시,월요일,광주광역시 북구 장등동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,56세,상해없음,승용,남,35세,경상
2021032400100388,2021년 3월 24일 17시,수요일,광주광역시 북구 장등동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,60세,상해없음,승용,여,34세,경상
