사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010200100405,2021년 1월 2일 21시,토요일,대구광역시 달성군 화원읍,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,남,56세,경상
2021010800100323,2021년 1월 8일 17시,금요일,대구광역시 북구 관음동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,22세,상해없음,승용,여,28세,경상
2021011200100134,2021년 1월 12일 11시,화요일,대구광역시 동구 부동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,41세,상해없음,화물,남,40세,경상
2021011300100092,2021년 1월 13일 08시,수요일,대구광역시 달성군 화원읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 서리/결빙,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,여,45세,경상
2021011400100620,2021년 1월 14일 22시,목요일,대구광역시 북구 서변동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,49세,상해없음,승용,여,48세,경상
2021011700100145,2021년 1월 17일 15시,일요일,대구광역시 동구 진인동,경상사고,0,0,3,0,차대차 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,여,74세,상해없음,승용,남,20세,상해없음
2021012000100206,2021년 1월 20일 11시,수요일,대구광역시 서구 상리동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,44세,상해없음,건설기계,남,52세,경상
2021012500100081,2021년 1월 25일 08시,월요일,대구광역시 서구 상리동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,건설기계,남,60세,상해없음,승용,여,44세,경상
2021020200100040,2021년 2월 2일 07시,화요일,대구광역시 서구 상리동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,72세,상해없음,화물,남,54세,경상
2021020500100117,2021년 2월 5일 10시,금요일,대구광역시 달성군 현풍읍,중상사고,0,1,1,0,차대차 - 추돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,화물,남,69세,중상,건설기계,남,49세,경상
