사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010300100130,2021년 1월 3일 16시,일요일,대전광역시 대덕구 신대동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,55세,상해없음,승용,여,32세,경상
2021010600100359,2021년 1월 6일 18시,수요일,대전광역시 서구 관저동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,39세,경상,승용,여,49세,상해없음
2021010700100113,2021년 1월 7일 10시,목요일,대전광역시 대덕구 비래동,중상사고,0,3,1,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,눈,단일로 - 교량,특수,남,57세,상해없음,승용,남,27세,중상
2021011500100290,2021년 1월 15일 15시,금요일,대전광역시 대덕구 송촌동,경상사고,0,0,3,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,여,58세,상해없음,승용,남,56세,경상
2021012000100595,2021년 1월 20일 20시,수요일,대전광역시 대덕구 덕암동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,화물,남,63세,상해없음,보행자,남,25세,중상
2021012700100104,2021년 1월 27일 09시,수요일,대전광역시 대덕구 신대동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승용,남,49세,상해없음,승용,남,25세,경상
2021013100100329,2021년 1월 31일 20시,일요일,대전광역시 유성구 탑립동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,특수,남,53세,상해없음,승용,남,37세,경상
2021020500100064,2021년 2월 5일 08시,금요일,대전광역시 대덕구 연축동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,화물,남,42세,상해없음,승용,남,53세,경상
2021020700100393,2021년 2월 7일 22시,일요일,대전광역시 유성구 하기동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,특수,남,43세,상해없음,화물,남,41세,상해없음
2021020900100270,2021년 2월 9일 13시,화요일,대전광역시 대덕구 석봉동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승용,남,19세,상해없음,화물,남,60세,경상
