사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021011400100048,2021년 1월 14일 07시,목요일,부산광역시 강서구 대저1동,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승용,남,55세,경상
2021012400100294,2021년 1월 24일 20시,일요일,부산광역시 강서구 대저1동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,특수,남,57세,상해없음,승용,여,27세,경상
2021013000100105,2021년 1월 30일 11시,토요일,부산광역시 기장군 일광면,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,여,30세,경상
2021013100100320,2021년 1월 31일 20시,일요일,부산광역시 사상구 감전동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,남,46세,경상
2021020500100036,2021년 2월 5일 07시,금요일,부산광역시 강서구 강동동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,56세,상해없음,승용,여,33세,경상
2021021900100073,2021년 2월 19일 08시,금요일,부산광역시 금정구 노포동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,20세,상해없음,승용,여,26세,경상
2021021900100393,2021년 2월 19일 16시,금요일,부산광역시 기장군 기장읍,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,50세,상해없음,승용,남,31세,경상
2021022000100058,2021년 2월 20일 07시,토요일,부산광역시 금정구 두구동,경상사고,0,0,1,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,단일로 - 기타,화물,남,51세,상해없음,승용,남,54세,경상
2021022100100133,2021년 2월 21일 13시,일요일,부산광역시 금정구 노포동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 고가도로위,승용,남,28세,상해없음,승용,남,27세,경상
2021022400100029,2021년 2월 24일 06시,수요일,부산광역시 강서구 봉림동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,화물,남,51세,상해없음,승용,남,40세,경상
2021022700100284,2021년 2월 27일 15시,토요일,부산광역시 기장군 일광면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,남,31세,경상
2021030100100136,2021년 3월 1일 14시,월요일,부산광역시 기장군 기장읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,여,41세,상해없음,승용,여,66세,경상
2021030200100237,2021년 3월 2일 14시,화요일,부산광역시 기장군 철마면,중상사고,0,1,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,70세,상해없음,승용,여,48세,경상
2021031000100390,2021년 3월 10일 17시,수요일,부산광역시 강서구 대저1동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,77세,상해없음,승용,여,55세,경상
2021031200100032,2021년 3월 12일 06시,금요일,부산광역시 강서구 대저1동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 젖음/습기,비,단일로 - 기타,승용,남,69세,경상,승용,여,59세,경상
2021031200100239,2021년 3월 12일 14시,금요일,부산광역시 강서구 대저1동,중상사고,0,1,1,1,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,화물,남,63세,부상신고,승용,여,19세,중상
