사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010500100144,2021년 1월 5일 12시,화요일,서울특별시 강동구 강일동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,64세,상해없음,승용,여,35세,경상
2021010600100353,2021년 1월 6일 18시,수요일,서울특별시 송파구 마천동,사망사고,1,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,74세,사망,화물,남,38세,경상
2021010700100008,2021년 1월 7일 00시,목요일,서울특별시 강동구 상일동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 적설,맑음,단일로 - 기타,화물,남,63세,상해없음,화물,남,37세,중상
2021011000100326,2021년 1월 10일 21시,일요일,서울특별시 송파구 가락동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 젖음/습기,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,여,40세,경상
2021011400100626,2021년 1월 14일 23시,목요일,서울특별시 서초구 원지동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,남,44세,경상
2021011500100139,2021년 1월 15일 10시,금요일,서울특별시 강동구 강일동,경상사고,0,0,3,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,여,52세,경상,승용,남,36세,경상
2021011700100181,2021년 1월 17일 17시,일요일,서울특별시 서초구 원지동,중상사고,0,1,8,2,차대차 - 추돌,안전거리미확보,포장 - 건조,흐림,단일로 - 기타,승용,남,32세,상해없음,승용,남,26세,경상
2021011700100274,2021년 1월 17일 20시,일요일,서울특별시 강동구 고덕동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,51세,중상
2021012100100509,2021년 1월 21일 20시,목요일,서울특별시 서초구 양재동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 젖음/습기,비,단일로 - 기타,승용,남,58세,상해없음,승용,남,41세,경상
2.02101E+15,2021년 1월 22일 09시,금요일,서울특별시 강동구 강일동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,남,23세,경상
2021012500100101,2021년 1월 25일 09시,월요일,서울특별시 서초구 서초동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,흐림,기타 - 기타,승용,여,49세,상해없음,승합,남,52세,상해없음
2021012900100613,2021년 1월 29일 23시,금요일,서울특별시 서초구 원지동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,기타불명,승용,여,31세,경상
2021013000100438,2021년 1월 30일 19시,토요일,서울특별시 강동구 상일동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,53세,경상
2021013000100439,2021년 1월 30일 19시,토요일,서울특별시 강동구 상일동,부상신고사고,0,0,0,2,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,43세,부상신고
2021020600100125,2021년 2월 6일 11시,토요일,서울특별시 강동구 상일동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,여,33세,경상
2021020900100644,2021년 2월 9일 20시,화요일,서울특별시 강동구 강일동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,37세,경상,승용,남,45세,경상
2021021800100553,2021년 2월 18일 23시,목요일,서울특별시 양천구 신월동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,36세,상해없음,승용,남,48세,상해없음
2021021900100736,2021년 2월 19일 23시,금요일,서울특별시 강동구 강일동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,화물,남,68세,경상
2021022200100028,2021년 2월 22일 06시,월요일,서울특별시 서초구 원지동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,60세,상해없음,승용,여,48세,부상신고
2021022400100107,2021년 2월 24일 09시,수요일,서울특별시 강동구 강일동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,상해없음,승용,남,60세,경상
2021022700100411,2021년 2월 27일 18시,토요일,서울특별시 강동구 상일동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,남,58세,경상
2021030100100455,2021년 3월 1일 23시,월요일,서울특별시 강동구 강일동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,눈,단일로 - 기타,승합,남,39세,상해없음,화물,남,50세,경상
2.02103E+15,2021년 3월 2일 13시,화요일,서울특별시 강동구 상일동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,24세,기타불명,승용,남,39세,경상
2021030300100236,2021년 3월 3일 12시,수요일,서울특별시 강동구 강일동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,특수,남,41세,상해없음,승용,남,45세,경상
2021030400100365,2021년 3월 4일 18시,목요일,서울특별시 강동구 상일동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,49세,상해없음,승용,남,44세,경상
2021030600100045,2021년 3월 6일 05시,토요일,서울특별시 강동구 상일동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,남,46세,중상
2021030600100284,2021년 3월 6일 15시,토요일,서울특별시 송파구 방이동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,여,38세,경상
2.02103E+15,2021년 3월 14일 20시,일요일,서울특별시 강동구 상일동,중상사고,0,1,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,20세,상해없음,승용,남,56세,상해없음
2021031500100259,2021년 3월 15일 14시,월요일,서울특별시 서초구 원지동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,77세,상해없음,승용,남,34세,경상
2021032000100343,2021년 3월 20일 17시,토요일,서울특별시 노원구 상계동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,60세,상해없음,승용,남,44세,경상
