사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010300100158,2021년 1월 3일 18시,일요일,울산광역시 울주군 삼남읍,중상사고,0,2,0,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,상해없음,승용,남,28세,중상
2021020500100592,2021년 2월 5일 21시,금요일,울산광역시 울주군 청량읍,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,25세,상해없음,승용,남,36세,경상
2021031200100061,2021년 3월 12일 08시,금요일,울산광역시 울주군 범서읍,경상사고,0,0,1,0,차대차 - 추돌,신호위반,포장 - 젖음/습기,비,단일로 - 기타,화물,남,72세,상해없음,특수,남,65세,경상
2021031200100143,2021년 3월 12일 11시,금요일,울산광역시 울주군 삼남읍,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,56세,상해없음,승용,남,61세,중상
2021031400100212,2021년 3월 14일 16시,일요일,울산광역시 울주군 언양읍,중상사고,0,2,0,0,차대차 - 추돌,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,남,44세,상해없음,승용,여,50세,중상
2021032400100368,2021년 3월 24일 17시,수요일,울산광역시 울주군 삼남읍,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,남,25세,경상
2021052400100014,2021년 5월 24일 05시,월요일,울산광역시 울주군 청량읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,63세,상해없음,보행자,남,38세,경상
2021052600100174,2021년 5월 26일 11시,수요일,울산광역시 울주군 삼남읍,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,31세,상해없음,승용,여,68세,경상
2021060600100254,2021년 6월 6일 16시,일요일,울산광역시 울주군 청량읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,46세,상해없음,승용,남,33세,경상
2021061900100182,2021년 6월 19일 11시,토요일,울산광역시 울주군 두동면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,남,33세,경상
2021062200100365,2021년 6월 22일 16시,화요일,울산광역시 울주군 언양읍,경상사고,0,0,1,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,27세,상해없음,화물,남,47세,상해없음
2021062500100349,2021년 6월 25일 15시,금요일,울산광역시 울주군 언양읍,중상사고,0,2,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,화물,남,56세,중상
2021070700100364,2021년 7월 7일 16시,수요일,울산광역시 울주군 두서면,중상사고,0,1,8,2,차량단독 - 공작물충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승합,남,60세,상해없음,,,,
2021071200100250,2021년 7월 12일 14시,월요일,울산광역시 울주군 청량읍,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,특수,남,73세,상해없음,승용,남,42세,상해없음
2021071800100077,2021년 7월 18일 10시,일요일,울산광역시 울주군 언양읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,21세,기타불명,승용,남,51세,경상
2021080500100288,2021년 8월 5일 14시,목요일,울산광역시 울주군 두동면,중상사고,0,1,2,0,차대차 - 기타,차로위반,포장 - 건조,맑음,단일로 - 기타,특수,남,71세,상해없음,화물,남,70세,중상
2021080700100075,2021년 8월 7일 09시,토요일,울산광역시 울주군 삼동면,중상사고,0,3,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,화물,남,63세,상해없음,화물,남,53세,경상
2021080700100076,2021년 8월 7일 09시,토요일,울산광역시 울주군 삼동면,중상사고,0,2,0,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,상해없음,화물,남,64세,중상
2021081700100169,2021년 8월 17일 11시,화요일,울산광역시 울주군 두서면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,화물,남,47세,상해없음,화물,남,48세,경상
2021082800100131,2021년 8월 28일 11시,토요일,울산광역시 울주군 온양읍,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,40세,상해없음,승용,여,38세,중상
2021082800100132,2021년 8월 28일 11시,토요일,울산광역시 울주군 범서읍,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,71세,상해없음,승용,남,59세,경상
2021090200100183,2021년 9월 2일 12시,목요일,울산광역시 울주군 삼남읍,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,69세,상해없음,승용,여,60세,경상
2021090500100230,2021년 9월 5일 16시,일요일,울산광역시 울주군 언양읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승용,남,43세,경상
2021091100100326,2021년 9월 11일 14시,토요일,울산광역시 울주군 웅촌면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,화물,남,74세,상해없음,승용,남,60세,경상
2021091200100092,2021년 9월 12일 11시,일요일,울산광역시 울주군 청량읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,30세,상해없음,승용,여,43세,경상
2021091300100279,2021년 9월 13일 13시,월요일,울산광역시 울주군 온양읍,중상사고,0,1,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,84세,상해없음,화물,남,64세,중상
2021092300100046,2021년 9월 23일 07시,목요일,울산광역시 울주군 삼남읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,60세,상해없음,승용,남,26세,경상
2021092900100074,2021년 9월 29일 08시,수요일,울산광역시 울주군 언양읍,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,55세,경상
2021102200100245,2021년 10월 22일 12시,금요일,울산광역시 울주군 언양읍,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,32세,상해없음,승용,여,57세,경상
2021120900100259,2021년 12월 9일 15시,목요일,울산광역시 울주군 청량읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,남,30세,경상
2021122000100258,2021년 12월 20일 14시,월요일,울산광역시 울주군 언양읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,특수,남,56세,상해없음,특수,남,37세,경상
2021122000100384,2021년 12월 20일 17시,월요일,울산광역시 울주군 온양읍,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,50세,상해없음,승용,남,28세,경상
2021122300100159,2021년 12월 23일 11시,목요일,울산광역시 울주군 언양읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,73세,상해없음,보행자,남,52세,경상
