사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010400100285,2021년 1월 4일 17시,월요일,인천광역시 서구 경서동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,26세,상해없음,승용,남,35세,경상
2021010600100564,2021년 1월 6일 22시,수요일,인천광역시 남동구 도림동,경상사고,0,0,4,0,차대차 - 측면충돌,안전거리미확보,포장 - 적설,눈,단일로 - 기타,승용,남,28세,상해없음,승용,여,41세,경상
2021010700100362,2021년 1월 7일 21시,목요일,인천광역시 부평구 삼산동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,36세,상해없음,승용,남,26세,경상
2021010800100410,2021년 1월 8일 19시,금요일,인천광역시 부평구 청천동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,여,19세,경상
2021010900100022,2021년 1월 9일 06시,토요일,인천광역시 남동구 논현동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,상해없음,승용,남,27세,경상
2021010900100066,2021년 1월 9일 09시,토요일,인천광역시 남동구 남촌동,중상사고,0,1,1,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 교량,승용,남,27세,상해없음,승용,남,43세,중상
2021011100100053,2021년 1월 11일 07시,월요일,인천광역시 부평구 삼산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,화물,남,68세,경상
2021011100100085,2021년 1월 11일 08시,월요일,인천광역시 계양구 상야동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 교량,승용,남,41세,상해없음,화물,남,60세,경상
2021011100100086,2021년 1월 11일 08시,월요일,인천광역시 남동구 서창동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 젖음/습기,흐림,단일로 - 교량,승용,여,54세,상해없음,승용,남,65세,경상
2021011200100117,2021년 1월 12일 10시,화요일,인천광역시 부평구 삼산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 젖음/습기,맑음,단일로 - 교량,화물,남,44세,상해없음,승용,여,44세,경상
2021011200100203,2021년 1월 12일 13시,화요일,인천광역시 남동구 논현동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 젖음/습기,맑음,기타 - 기타,승용,여,26세,상해없음,승용,남,55세,경상
2021011200100237,2021년 1월 12일 14시,화요일,인천광역시 서구 경서동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,화물,남,64세,부상신고,화물,남,46세,상해없음
2021011300100191,2021년 1월 13일 12시,수요일,인천광역시 부평구 일신동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 교량,건설기계,남,48세,상해없음,승용,남,24세,경상
