사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010700100192,2021년 1월 7일 13시,목요일,전라남도 무안군 무안읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 적설,눈,단일로 - 교량,승용,남,71세,상해없음,승용,여,50세,경상
2021010700100266,2021년 1월 7일 16시,목요일,전라남도 함평군 손불면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 적설,눈,단일로 - 기타,승용,남,47세,경상,승용,남,48세,경상
2021010700100267,2021년 1월 7일 16시,목요일,전라남도 함평군 손불면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 서리/결빙,눈,단일로 - 기타,화물,남,66세,상해없음,승용,남,51세,경상
2021010800100090,2021년 1월 8일 10시,금요일,전라남도 함평군 함평읍,중상사고,0,2,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 서리/결빙,눈,단일로 - 기타,승용,남,51세,중상,승용,남,37세,상해없음
2021011200100107,2021년 1월 12일 10시,화요일,전라남도 담양군 담양읍,경상사고,0,0,2,0,차대차 - 기타,신호위반,포장 - 건조,맑음,기타 - 기타,화물,남,42세,경상,승용,남,37세,경상
2021011200100321,2021년 1월 12일 17시,화요일,전라남도 순천시 서면,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,기타 - 기타,승용,남,47세,상해없음,화물,남,43세,경상
2021011800100104,2021년 1월 18일 10시,월요일,전라남도 장성군 북이면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 적설,눈,단일로 - 기타,화물,남,61세,상해없음,화물,남,44세,경상
2021012100100331,2021년 1월 21일 16시,목요일,전라남도 곡성군 오산면,경상사고,0,0,3,0,차대차 - 기타,기타,포장 - 젖음/습기,비,단일로 - 기타,화물,남,56세,상해없음,승용,남,28세,경상
2021012300100421,2021년 1월 23일 20시,토요일,전라남도 순천시 황전면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,승용,남,56세,상해없음,승용,남,43세,경상
2021012700100428,2021년 1월 27일 19시,수요일,전라남도 순천시 서면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,57세,상해없음,승용,남,36세,상해없음
2021012900100197,2021년 1월 29일 11시,금요일,전라남도 담양군 고서면,중상사고,0,1,2,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,46세,상해없음,화물,남,28세,경상
2021013000100423,2021년 1월 30일 19시,토요일,전라남도 무안군 무안읍,경상사고,0,0,9,0,차대차 - 기타,안전거리미확보,포장 - 건조,흐림,단일로 - 기타,승용,남,42세,경상,승용,남,36세,경상
2021020800100083,2021년 2월 8일 08시,월요일,전라남도 곡성군 오산면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,기타 - 기타,승용,여,37세,상해없음,승용,여,28세,경상
2021021600100335,2021년 2월 16일 16시,화요일,전라남도 순천시 서면,중상사고,0,2,1,0,차대차 - 기타,중앙선침범,포장 - 젖음/습기,비,단일로 - 교량,승용,여,28세,상해없음,화물,남,37세,중상
2021021700100032,2021년 2월 17일 05시,수요일,전라남도 나주시 노안면,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,포장 - 적설,눈,단일로 - 기타,화물,남,52세,경상,화물,남,40세,중상
2021021700100239,2021년 2월 17일 13시,수요일,전라남도 장성군 북이면,중상사고,0,2,2,0,차대차 - 추돌,안전거리미확보,포장 - 적설,맑음,기타 - 기타,승용,남,53세,중상,승합,남,44세,상해없음
