사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010700100013,2021년 1월 7일 01시,목요일,전라북도 익산시 여산면,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 적설,눈,단일로 - 기타,승합,남,59세,기타불명,,,,
2021010700100022,2021년 1월 7일 04시,목요일,전라북도 완주군 상관면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 서리/결빙,눈,단일로 - 터널,화물,남,48세,상해없음,보행자,남,40세,중상
2021010800100113,2021년 1월 8일 11시,금요일,전라북도 부안군 주산면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,63세,상해없음,승용,여,48세,경상
2021011100100104,2021년 1월 11일 09시,월요일,전라북도 익산시 왕궁면,경상사고,0,0,1,0,차대차 - 측면충돌,기타,포장 - 젖음/습기,맑음,단일로 - 기타,승용,여,41세,상해없음,승용,남,53세,경상
2021011100100178,2021년 1월 11일 12시,월요일,전라북도 완주군 용진읍,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,기타 - 기타,화물,남,48세,상해없음,화물,남,31세,경상
2021011400100130,2021년 1월 14일 09시,목요일,전라북도 임실군 오수면,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,포장 - 젖음/습기,안개,교차로 - 교차로안,건설기계,남,24세,상해없음,승용,여,28세,경상
2021011800100057,2021년 1월 18일 08시,월요일,전라북도 익산시 왕궁면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 서리/결빙,눈,단일로 - 기타,승용,남,45세,상해없음,승용,남,44세,경상
2021011800100100,2021년 1월 18일 10시,월요일,전라북도 임실군 오수면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 적설,눈,기타 - 기타,특수,남,49세,상해없음,화물,남,49세,중상
2021011900100283,2021년 1월 19일 14시,화요일,전라북도 익산시 왕궁면,중상사고,0,1,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,39세,중상,화물,남,29세,경상
2021012200100042,2021년 1월 22일 06시,금요일,전라북도 장수군 계북면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,안개,기타 - 기타,특수,남,62세,상해없음,승용,남,41세,중상
2021020700100353,2021년 2월 7일 20시,일요일,전라북도 익산시 왕궁면,경상사고,0,0,1,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,42세,상해없음,승용,남,40세,경상
2021021300100163,2021년 2월 13일 15시,토요일,전라북도 익산시 왕궁면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,남,27세,경상
2021021700100016,2021년 2월 17일 01시,수요일,전라북도 남원시 대산면,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,포장 - 적설,눈,단일로 - 기타,화물,남,64세,사망,건설기계,남,62세,상해없음
2021022300100310,2021년 2월 23일 15시,화요일,전라북도 순창군 순창읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,41세,상해없음,승용,남,46세,경상
2021031100100066,2021년 3월 11일 07시,목요일,전라북도 완주군 이서면,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,여,30세,경상
2021031400100344,2021년 3월 14일 20시,일요일,전라북도 익산시 왕궁면,중상사고,0,1,2,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,65세,상해없음,승용,남,41세,경상
2021031900100022,2021년 3월 19일 03시,금요일,전라북도 정읍시 하모동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,44세,상해없음,화물,남,43세,경상
2021032500100333,2021년 3월 25일 15시,목요일,전라북도 군산시 대야면,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,30세,경상
2021032600100030,2021년 3월 26일 05시,금요일,전라북도 장수군 계북면,중상사고,0,2,2,0,차대차 - 추돌,안전운전불이행,포장 - 기타,안개,기타 - 기타,특수,남,63세,경상,화물,남,61세,중상
2021032700100230,2021년 3월 27일 13시,토요일,전라북도 정읍시 정우면,경상사고,0,0,2,1,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,34세,상해없음,승용,남,31세,경상
