사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010400100410,2021년 1월 4일 21시,월요일,충청남도 보령시 주교면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,흐림,단일로 - 기타,화물,남,53세,상해없음,화물,남,41세,중상
2021010600100006,2021년 1월 6일 01시,수요일,충청남도 당진시 송악읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,25세,상해없음,화물,남,42세,경상
2021010600100011,2021년 1월 6일 02시,수요일,충청남도 천안시 동남구 성남면,중상사고,0,3,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,37세,중상,화물,남,64세,경상
2021010700100019,2021년 1월 7일 03시,목요일,충청남도 서산시 운산면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 적설,눈,기타 - 기타,화물,남,62세,기타불명,화물,남,55세,경상
2021010700100158,2021년 1월 7일 12시,목요일,충청남도 논산시 벌곡면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,맑음,단일로 - 기타,화물,남,64세,상해없음,승용,여,63세,중상
2021010700100305,2021년 1월 7일 18시,목요일,충청남도 당진시 신평면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,흐림,단일로 - 교량,승용,여,28세,상해없음,화물,남,61세,중상
2021010800100011,2021년 1월 8일 05시,금요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 서리/결빙,흐림,단일로 - 기타,승합,남,40세,상해없음,승용,남,63세,경상
2021010800100019,2021년 1월 8일 06시,금요일,충청남도 논산시 벌곡면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,중상,특수,남,61세,상해없음
2021011100100281,2021년 1월 11일 15시,월요일,충청남도 예산군 고덕면,중상사고,0,2,0,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 젖음/습기,흐림,단일로 - 기타,승용,여,60세,중상,,,,
2021011200100295,2021년 1월 12일 16시,화요일,충청남도 서천군 비인면,사망사고,1,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 적설,안개,단일로 - 기타,특수,남,63세,상해없음,승용,여,53세,사망
2021011200100353,2021년 1월 12일 18시,화요일,충청남도 당진시 신평면,중상사고,0,1,0,0,차대차 - 기타,기타,포장 - 건조,흐림,단일로 - 기타,승용,남,68세,중상,승용,여,54세,상해없음
