사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021010200100241,2021년 1월 2일 16시,토요일,충청북도 청주시 서원구 남이면,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,기타불명,승합,남,51세,경상
2021010300100229,2021년 1월 3일 21시,일요일,충청북도 청주시 청원구 오창읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승합,남,42세,경상
2021010500100152,2021년 1월 5일 13시,화요일,충청북도 청주시 서원구 남이면,중상사고,0,1,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,여,46세,경상
2021010900100043,2021년 1월 9일 08시,토요일,충청북도 진천군 초평면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,특수,남,48세,상해없음,화물,남,41세,중상
2021011000100081,2021년 1월 10일 12시,일요일,충청북도 진천군 이월면,중상사고,0,1,0,0,차대차 - 추돌,기타,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승용,남,47세,상해없음,승용,남,23세,중상
2021011600100131,2021년 1월 16일 12시,토요일,충청북도 충주시 중앙탑면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승용,남,83세,상해없음,승용,여,30세,경상
2021011600100335,2021년 1월 16일 18시,토요일,충청북도 청주시 흥덕구 옥산면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,상해없음,승용,남,22세,경상
2021011700100184,2021년 1월 17일 17시,일요일,충청북도 청주시 흥덕구 내곡동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,24세,상해없음,승용,남,33세,경상
2021011800100074,2021년 1월 18일 09시,월요일,충청북도 진천군 광혜원면,경상사고,0,0,1,0,차대차 - 기타,차로위반,포장 - 적설,눈,단일로 - 기타,화물,남,53세,기타불명,승용,여,20세,경상
2021011800100191,2021년 1월 18일 14시,월요일,충청북도 제천시 봉양읍,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,포장 - 적설,눈,단일로 - 지하차도(도로)내,승합,남,56세,상해없음,승용,남,50세,경상
2021011900100570,2021년 1월 19일 21시,화요일,충청북도 음성군 대소면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,40세,상해없음,화물,남,37세,경상
2021012000100043,2021년 1월 20일 06시,수요일,충청북도 청주시 서원구 남이면,사망사고,1,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,56세,사망,화물,남,56세,경상
2021012000100316,2021년 1월 20일 14시,수요일,충청북도 충주시 앙성면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,54세,중상,화물,남,55세,경상
2021012100100009,2021년 1월 21일 02시,목요일,충청북도 충주시 노은면,경상사고,0,0,1,0,차대차 - 추돌,기타,포장 - 건조,흐림,단일로 - 지하차도(도로)내,승용,남,36세,상해없음,화물,남,44세,경상
2021012100100139,2021년 1월 21일 10시,목요일,충청북도 청주시 상당구 문의면,사망사고,1,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,화물,남,61세,사망,화물,남,52세,중상
2021012200100327,2021년 1월 22일 17시,금요일,충청북도 괴산군 연풍면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,화물,남,42세,상해없음,승용,남,43세,경상
2021012200100385,2021년 1월 22일 18시,금요일,충청북도 단양군 대강면,사망사고,1,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,48세,사망,건설기계,남,45세,경상
2021012300100451,2021년 1월 23일 21시,토요일,충청북도 청주시 흥덕구 상신동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,화물,남,19세,상해없음,승용,남,55세,경상
2021012500100201,2021년 1월 25일 12시,월요일,충청북도 청주시 서원구 현도면,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 지하차도(도로)내,화물,남,61세,상해없음,승용,남,63세,경상
2021012700100030,2021년 1월 27일 06시,수요일,충청북도 청주시 흥덕구 내곡동,중상사고,0,2,11,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,64세,중상,화물,남,56세,경상
2021012700100236,2021년 1월 27일 14시,수요일,충청북도 영동군 황간면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,72세,상해없음,화물,남,58세,경상
2021012800100347,2021년 1월 28일 17시,목요일,충청북도 진천군 진천읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 지하차도(도로)내,화물,남,50세,상해없음,승용,남,41세,경상
